edge_id,geometry_wkt
8668,"LINESTRING (704007.647714 7065070.93557, 704010.373745 7065070.614356)"
8697,"LINESTRING (703866.489548 7065097.44751, 703845.429774 7065092.897465)"
8727,"LINESTRING (703487.625584 7064985.147672, 703481.270836 7064991.395364)"
8757,"LINESTRING (703352.040051 7065022.975833, 703349.003046 7065022.40568)"
8786,"LINESTRING (703300.655552 7065054.571289, 703299.049177 7065053.233087)"
8816,"LINESTRING (703404.995888 7065086.059319, 703406.483905 7065084.054345)"
8846,"LINESTRING (703651.156395 7063963.576323, 703668.797312 7063961.838322)"
8875,"LINESTRING (703743.882708 7063991.697263, 703763.958775 7064001.639705)"
8905,"LINESTRING (703901.813717 7064069.532013, 703913.890613 7064074.889396)"
8935,"LINESTRING (703504.296832 7064254.698972, 703513.548422 7064259.986872)"
8964,"LINESTRING (701688.498876 7063767.236243, 701690.821219 7063768.68561)"
8994,"LINESTRING (701862.645361 7063804.845422, 701873.266471 7063808.704652)"
9024,"LINESTRING (702151.391359 7063858.126283, 702168.451889 7063855.257825)"
9054,"LINESTRING (702436.607395 7063841.583616, 702442.930999 7063842.098981)"
9083,"LINESTRING (702517.288755 7063823.21014, 702539.836033 7063808.655663)"
9113,"LINESTRING (700714.502725 7064600.47126, 700737.399694 7064613.144629)"
9143,"LINESTRING (701578.436476 7064091.237886, 701576.28886 7064098.335773)"
9172,"LINESTRING (701618.427034 7064203.889223, 701618.291212 7064208.313212)"
9202,"LINESTRING (701889.881542 7064201.923954, 701895.389752 7064204.533432)"
9232,"LINESTRING (701981.376562 7064361.399106, 701983.556067 7064365.378169)"
9261,"LINESTRING (702108.339428 7064355.104791, 702115.555157 7064354.349747)"
9291,"LINESTRING (702226.84634 7064370.685011, 702238.337813 7064372.695461)"
9321,"LINESTRING (702389.819264 7064339.304856, 702394.471794 7064338.459927)"
9350,"LINESTRING (702498.8014 7064403.562344, 702502.029033 7064406.316275)"
9380,"LINESTRING (702538.080995 7064492.41749, 702538.439436 7064498.312665)"
9410,"LINESTRING (702487.601849 7064605.180186, 702484.562296 7064609.636318)"
9439,"LINESTRING (702433.014255 7064791.813506, 702430.256089 7064800.805302)"
9469,"LINESTRING (702625.937877 7065458.923228, 702621.762347 7065455.979295)"
9499,"LINESTRING (702499.075711 7065278.858919, 702496.012271 7065274.188295)"
9529,"LINESTRING (702341.318731 7065175.57674, 702336.384856 7065173.680231)"
9558,"LINESTRING (702146.103819 7065180.134209, 702135.661243 7065179.561877)"
9588,"LINESTRING (702092.988263 7065129.922442, 702101.31023 7065121.790601)"
9618,"LINESTRING (701420.563617 7063938.605969, 701416.334794 7063943.374361)"
9647,"LINESTRING (701364.47809 7063882.951988, 701320.28052 7063891.042775)"
9677,"LINESTRING (701179.518108 7063874.463066, 701173.725292 7063875.119319)"
9707,"LINESTRING (700910.084473 7063894.682931, 700905.247772 7063894.960735)"
9736,"LINESTRING (700774.415916 7063904.892322, 700767.741823 7063929.240178)"
9766,"LINESTRING (700662.658337 7065737.666475, 700666.848637 7065742.358546)"
9796,"LINESTRING (700792.999568 7065838.513305, 700800.686507 7065844.676973)"
9825,"LINESTRING (700961.70714 7066001.79797, 700972.931224 7066018.593795)"
9855,"LINESTRING (701061.093214 7066116.564941, 701065.410958 7066117.858459)"
9885,"LINESTRING (703160.355523 7064570.205585, 703160.529962 7064574.763458)"
9914,"LINESTRING (703164.557058 7064590.422642, 703162.907037 7064590.845169)"
9944,"LINESTRING (703385.957805 7064711.98541, 703386.157184 7064710.124529)"
9974,"LINESTRING (701237.911253 7064998.394031, 701232.800765 7064992.330693)"
10003,"LINESTRING (701020.764916 7064765.568406, 700974.809502 7064705.662674)"
10033,"LINESTRING (703323.631657 7065218.877768, 703322.87521 7065217.038592)"
10063,"LINESTRING (703579.801477 7065217.420086, 703584.181259 7065210.469161)"
10093,"LINESTRING (702823.369662 7065630.177825, 702823.476397 7065629.096924)"
10122,"LINESTRING (702592.104068 7065628.672819, 702588.881545 7065631.791607)"
10152,"LINESTRING (697111.010546 7059057.605093, 697114.543096 7059063.263857)"
10182,"LINESTRING (704823.499327 7063870.657824, 704820.23736 7063867.623952)"
10211,"LINESTRING (697109.861279 7059069.250003, 697106.279235 7059063.825268)"
10241,"LINESTRING (697105.553676 7058866.886519, 697111.822322 7058858.927281)"
10271,"LINESTRING (704377.828896 7058957.227185, 704377.792438 7058958.530873)"
10300,"LINESTRING (704867.665517 7059255.81567, 704864.73113 7059272.371495)"
10330,"LINESTRING (704292.211963 7061539.788671, 704296.882307 7061537.608178)"
