zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
101,14.0,False,False,"POLYGON ((685973.83879 7054619.633751, 685954.832963 7054818.904213, 686154.395054 7054838.068856, 686173.400412 7054638.798179, 685973.83879 7054619.633751))"
102,4.0,False,False,"POLYGON ((685992.844158 7054420.363684, 685973.83879 7054619.633751, 686173.400412 7054638.798179, 686192.40531 7054439.527895, 685992.844158 7054420.363684))"
103,2.0,False,False,"POLYGON ((686192.40531 7054439.527895, 686173.400412 7054638.798179, 686372.962006 7054657.962061, 686391.966435 7054458.691562, 686192.40531 7054439.527895))"
104,5.0,False,False,"POLYGON ((686211.40975 7054240.258005, 686192.40531 7054439.527895, 686391.966435 7054458.691562, 686410.970406 7054259.421456, 686211.40975 7054240.258005))"
105,2.0,False,False,"POLYGON ((686011.849066 7054221.094009, 685992.844158 7054420.363684, 686192.40531 7054439.527895, 686211.40975 7054240.258005, 686011.849066 7054221.094009))"
106,4.0,False,False,"POLYGON ((685793.282977 7054401.198927, 685774.277141 7054600.468779, 685973.83879 7054619.633751, 685992.844158 7054420.363684, 685793.282977 7054401.198927))"
107,6.0,False,False,"POLYGON ((685774.277141 7054600.468779, 685755.270845 7054799.739025, 685954.832963 7054818.904213, 685973.83879 7054619.633751, 685774.277141 7054600.468779))"
108,5.0,False,False,"POLYGON ((685593.721769 7054382.033626, 685574.715464 7054581.303262, 685774.277141 7054600.468779, 685793.282977 7054401.198927, 685593.721769 7054382.033626))"
109,2.0,False,False,"POLYGON ((685413.166848 7054163.598754, 685394.160534 7054362.867781, 685593.721769 7054382.033626, 685612.727615 7054182.764384, 685413.166848 7054163.598754))"
110,2.0,False,False,"POLYGON ((685213.606054 7054144.43258, 685194.599271 7054343.701391, 685394.160534 7054362.867781, 685413.166848 7054163.598754, 685213.606054 7054144.43258))"
111,13.0,False,False,"POLYGON ((685251.61824 7053745.896137, 685232.612377 7053945.164162, 685432.172703 7053964.33012, 685451.178098 7053765.061879, 685251.61824 7053745.896137))"
112,6.0,False,False,"POLYGON ((685432.172703 7053964.33012, 685413.166848 7054163.598754, 685612.727615 7054182.764384, 685631.733001 7053983.495534, 685432.172703 7053964.33012))"
113,4.0,False,False,"POLYGON ((686895.528519 7051289.576573, 686876.531896 7051488.841024, 687076.08595 7051508.000372, 687095.082106 7051308.735706, 686895.528519 7051289.576573))"
